,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,commentary_line,world_cup_year,host_country
0,0,2023-10-05, Ahmedabad,League-Match,ENG,NZ,282,9,283,1,New Zealand won by 9 wickets (with 82 balls remaining),Rachin Ravindra,"['DP Conway - 152 runs ', 'R Ravindra - 123 runs ']","['MJ Henry - 3', 'MJ Santner - 2']",,2023,India
1,34,2023-11-04, Bengaluru,League-Match,NZ,PAK,401,6,200,1,Pakistan won by 21 runs (DLS method),Fakhar Zaman,"['Fakhar Zaman - 126 runs ', 'R Ravindra - 108 runs ']","['Mohammad Wasim - 3', 'TG Southee - 1']",,2023,India
2,20,2023-10-22, Dharamsala,League-Match,NZ,IND,273,0,274,6,India won by 4 wickets (with 12 balls remaining),Mohammed Shami,"['DJ Mitchell - 130 runs ', 'V Kohli - 95 runs ']","['Mohammed Shami - 5', 'Kuldeep Yadav - 2']",,2023,India
3,14,2023-10-17, Dharamsala,League-Match,NED,SA,245,8,207,0,Netherlands won by 38 runs,Scott Edwards,"['SA Edwards - 78 runs ', 'DA Miller - 43 runs ']","['LV van Beek - 3', 'M Jansen - 2']",,2023,India
4,23,2023-10-25, Delhi,League-Match,AUS,NED,399,8,90,0,Australia won by 309 runs,Glenn Maxwell,"['GJ Maxwell - 106 runs ', 'DA Warner - 104 runs ']","['A Zampa - 4', 'LV van Beek - 4']",,2023,India
5,37,2023-11-06, Delhi,League-Match,SL,BAN,279,0,282,7,Bangladesh won by 3 wickets (with 53 balls remaining),Shakib Al Hasan,"['KIC Asalanka - 108 runs ', 'Najmul Hossain Shanto - 90 runs ']","['D Madushanka - 3', 'Tanzim Hasan Sakib - 3']","Kusal Mendis: ""Charith played a brilliant innings, but we were 30-40 runs short; 320 would have been good enough on this wicket. I'm happy that Pathum, Sadeera and Dilshan are coming through. I think in the future we'll have a very good team which shows promise. We had a couple of injuries, and that was the reason we had so many changes and newcomers. But we also made mistakes; had we played better cricket, we would have a better chance of entering the top four. It's very disappointing. When Mathews came to the crease, there were five seconds left. When he came out, he found out about the strap of the helmet. It was disappointing. We expected him to score runs for us; it's disappointing that the umpires couldn't step in and make good decisions.""",2023,India
6,46,2023-11-16, Eden Gardens,Semi-Final,SA,AUS,212,0,215,7,P2 v P3 - Australia won by 3 wickets (with 16 balls remaining),Travis Head,"['DA Miller - 101 runs ', 'TM Head - 62 runs ']","['MA Starc - 3', 'PJ Cummins - 3']","And Australia's Pat Cummins: ""Easier than sitting in the dugout. Nerve-wracking couple of hours but great effort and a great game. We thought it would spin quite a bit. Wasn't expecting Starcy and Josh to bowl so much early. [Lost toss] Bit gloomy, swinging around so wasn't too upset. [Fielding] Something we talk a lot about. Wasn't up to scratch at the start of the tournament. Davey, 37, diving around, incredible. And the big two up front were incredible. [Head] Has this knack of finding a wicket. Been different bowlers chip in through the whole tournament. [Inglis] Played that beautifully. He looked in control against two really good spinners on a tough wicket. The good thing is a few of us have been there for finals before. Got to embrace it, the stadium is going to be packed, pretty one-sided but got to embrace it. The 2015 World Cup was a career highlight, so to be out there in a final in India, can't wait.""",2023,India
7,29,2023-10-30, Pune,League-Match,SL,AFG,241,0,242,3,Afghanistan won by 7 wickets (with 28 balls remaining),Fazalhaq Farooqi,"['Azmatullah Omarzai - 73 runs ', 'Rahmat Shah - 62 runs ']","['Fazalhaq Farooqi - 4', 'Mujeeb Ur Rahman - 2']","Fazalhaq Farooqi, Player of the Match: (Rashid Khan translating) It feels pretty good, we have three wins in the tournament, happy to contribute and win the game. I looked for swing early on but didn't get it so then I kept it simple and hit the right areas and that was the plan for the spell and I got success in it. We struggled in the past in the last overs...gave away too many runs but we bowled with variations today and the hard work in net sessions helped, couple of days rest also worked in our favour. We tried to bowl as many variations as possible. Thank you",2023,India
8,42,2023-11-11, Pune,League-Match,BAN,AUS,306,8,307,2,Australia won by 8 wickets (with 32 balls remaining),Mitchell Marsh,"['MR Marsh - 177 runs ', 'Towhid Hridoy - 74 runs ']","['A Zampa - 2', 'SA Abbott - 2']","Srihari: ""Marsh's innings reminds me of a certain Watto innings against Bang too"" -- Till Tuesday, that was, in fact, the highest individual score by an Australia men's batter in ODI cricket",2023,India
9,36,2023-11-05, Eden Gardens,League-Match,IND,SA,326,5,83,0,India won by 243 runs,Virat Kohli,"['V Kohli - 101 runs ', 'SS Iyer - 77 runs ']","['RA Jadeja - 5', 'Kuldeep Yadav - 2']","Rohit Sharma, India captain: If we look at how we played in the last three games, we played better in terms of adapting to the situation. We were put under pressure against England. In the last game as well, we lost a wicket in the first over but got to a good score and seamers came to the party. Today was not an easy pitch, you needed someone like Kohli, who batted to the situation. Not to forget Shreyas. It's important to let guys have freedom in the middle and what the team expects from them. You know it can't always be done but when it does it looks good and that's what happened with Shami. Same with Iyer, wasn't getting the runs but he's showed in the last two games the kind of class he has. Going hard in the first ten isn't something we've discussed. That's how Gill and I have batted together. We let our instincts take over. If the wicket is good, we keep going and things fall in place. Jadeja has been really good. Big matchwinner. He keeps doing the job, goes under the radar but today is a classic case of what he does - score late runs and take wickets. Not to get ahead of ourselves is something we are constantly talking about. When we turn up, we want to play to our potential.",2023,India
10,43,, Eden Gardens,League-Match,ENG,PAK,337,9,244,0,England won by 93 runs,David Willey,"['BA Stokes - 84 runs ', 'JE Root - 60 runs ']","['DJ Willey - 3', 'Haris Rauf - 3']",,2023,India
11,41,2023-11-10, Ahmedabad,League-Match,AFG,SA,244,0,247,5,South Africa won by 5 wickets (with 15 balls remaining),Rassie van der Dussen,"['Azmatullah Omarzai - 97 runs ', 'HE van der Dussen - 76 runs ']","['G Coetzee - 4', 'KA Maharaj - 2']",,2023,India
12,7,, Hyderabad,League-Match,SL,PAK,344,9,345,4,Pakistan won by 6 wickets (with 10 balls remaining),Mohammad Rizwan,"['Mohammad Rizwan - 131 runs ', 'BKG Mendis - 122 runs ']","['Hasan Ali - 4', 'Haris Rauf - 2']",,2023,India
13,15,2023-10-18, Chennai,League-Match,NZ,AFG,288,6,139,0,New Zealand won by 149 runs,Glenn Phillips,"['GD Phillips - 71 runs ', 'TWM Latham - 68 runs ']","['LH Ferguson - 3', 'MJ Santner - 3']",,2023,India
14,35,, Ahmedabad,League-Match,AUS,ENG,286,0,253,0,Australia won by 33 runs,Adam Zampa,"['M Labuschagne - 71 runs ', 'BA Stokes - 64 runs ']","['CR Woakes - 4', 'A Zampa - 3']","10.30pm: Time to hear from the captains, starting with Jos Buttler: ""Disappointment. Feel like we're having the same chat after every game. Some improvements again today but still short. It's a low point. To be stood in this position when you arrive in India with high hopes it incredibly tough, incredibly disappointing. It hurts a lot. We certainly haven't done ourselves justice. Fancied ourselves to have a real go at it. Incredibly tough to reach those highs [winning in 2019] and everyone knows the work that goes into that. Feel like we've let people down. You wear that on your own shoulders. [Happy chasing 287] Yeah, thought so, could have been better - frustrating partnership between Zampa and Starc, could have finished it quicker. Having come up 30 runs short, there's certainly areas we can find those 30 runs. [Dismissal] I think it was the right shot to play, execution was off. Felt that was the time to throw something back at the opp. My own form has been the biggest concern. I came in in a great place, but my own form has really hurt us. [Netherlands next] Only way you can get back into form is keep going. The longer it goes on, the closer you are to coming out of it.""",2023,India
15,2,2023-10-07, Dharamsala,League-Match,AFG,BAN,156,0,158,4,Bangladesh won by 6 wickets (with 92 balls remaining),Mehidy Hasan Miraz,"['Najmul Hossain Shanto - 59 runs ', 'Mehidy Hasan Miraz - 57 runs ']","['Mehidy Hasan Miraz - 3', 'Shakib Al Hasan - 3']",Mehidy Hasan: It's a great moment for me. I did a lot of hard work in the past. The team management deserves credit. I was a little bit cautious in my mind early on while bowling but the captain told me to bowl at the right areas and told me to be consistent and that gave me confidence so credit goes to the captain. (on batting) I go for ball by ball and how to get better on this surface. The wicket was turning a little bit but I tried to stay (on the crease). I always play at number 8 so it was a great opportunity to bat in the top order. I always have the hungriness so definitely it's a great moment for me to perform.,2023,India
16,22,2023-10-24, Wankhede,League-Match,SA,BAN,382,5,233,0,South Africa won by 149 runs,Quinton de Kock,"['Q de Kock - 174 runs ', 'Mahmudullah - 111 runs ']","['G Coetzee - 3', 'K Rabada - 2']","Quinton de Kock is Player of the Match for his 174 off 140: ""I was a bit more tired than satisfied. Great day out, everyone played their part. Nice to get points on the board. [Change of WC fortunes?] Not too sure, first time inexperience... it's just happening, I guess. [150th cap] I was a bit nervous this morning, don't normally get nervous at all. Had a bit of fun, great to get two points. [Klaasen] Been amazing, I need some of the juice he's having. He's been special, for every team he's played for. Taking the tournament by storm.""",2023,India
17,33,2023-11-03, Lucknow,League-Match,NED,AFG,179,0,181,3,Afghanistan won by 7 wickets (with 111 balls remaining),Mohammad Nabi,"['SA Engelbrecht - 58 runs ', 'Hashmatullah Shahidi - 56 runs ']","['Mohammad Nabi - 3', 'Noor Ahmad - 2']","Mohammad Nabi, Player of the Match: (On how well he is bowling) Just focussing on my lines and lengths. Focussing on dot balls. I always try to concentrate on my lines and lengths, and variations. I try to stick to my plans and use the angles. In some pitches, the variation is more, that is sometimes why I get more wickets. I focus on dot balls and that is how I control my economy rate. (On what keeps him going) Still working on my fitness, working on my rehab, proper diets. It is working (smiles).",2023,India
18,31,2023-11-01, Pune,League-Match,SA,NZ,357,4,167,0,South Africa won by 190 runs,Rassie van der Dussen,"['HE van der Dussen - 133 runs ', 'Q de Kock - 114 runs ']","['KA Maharaj - 4', 'M Jansen - 3']","Temba Bavuma: Clinical display with bat. Handled the challenge with the ball nipping around. We applied pressure with the ball. We tried to pounce on bad balls, Quinny started slowly, hung in there and cashed in at the end. More than the score, we were trying to stay in till 30 and go big later on. We were always looking to dominate with the new ball and middle overs. Knew they'd come hard at us and we'd get opportunities. Gotta hear the permutations about making the semi. After tomorrow, it's back to business, gotta prepare for the next game.",2023,India
19,8,2023-10-11, Delhi,League-Match,AFG,IND,272,8,273,2,India won by 8 wickets (with 90 balls remaining),Rohit Sharma,"['RG Sharma - 131 runs ', 'Hashmatullah Shahidi - 80 runs ']","['JJ Bumrah - 4', 'HH Pandya - 2']",,2023,India
20,47,2023-11-19, Ahmedabad,Final,IND,AUS,240,0,241,4,Australia won by 6 wickets (with 42 balls remaining),Travis Head,"['TM Head - 137 runs ', 'KL Rahul - 66 runs ']","['MA Starc - 3', 'PJ Cummins - 2']","Cummins: I think we saved our best for the last. A couple of big-match players stepped up and chuffed. Today we thought it was a good night to chase and thought it would be easier to chase. The pitch was slower than I thought and didn't particularly spin and we bowled tight lines. On a slow wicket with variable bounce, we had a couple of catchers on the leg side and made a couple of decisions. Desperate for sure. The boys were fantastic against South Africa. We have an ageing side but everyone throws themselves around. Chuffed with keeping them to 240 - anything under 300 really. I was one of those blokes with the hearts fluttering but Head takes the game on, Marnus... I think the selectors backed him even when he had a broken hand. It's a big risk and it paid off. How fun is he to watch? It was awesome to play and the passion in India is unrivaled. You just got to go and win a World Cup. You can't wait for it. It was a shift after two games. The openers were really aggressive and it was a total buy-in from everyone. We will remember this year for a long, long time. This pips it all.",2023,India
